source1_entity_id,matched_entity_ids
S1-430290873,"S2-500727018,S2-400031461,S3-572719879"
S1-537798230,"S3-154771774,S3-766289427"
S1-452996320,"S2-156841921,S3-772115758"
S1-262875473,"S2-45071486,S2-448394469,S2-386877654,S3-159551037,S3-662128758,S3-340133984"
S1-32931506,"S2-224082656,S2-830310350"
S1-613349394,"S2-194477930,S2-261873404,S2-324072363,S2-909948740,S3-286990112,S3-803301102,S3-847810365,S3-553316175"
S1-990433106,"S2-704168572,S2-444646621,S2-239189762,S3-823878280"
S1-137456967,"S2-79247374,S2-817771577,S2-232688636"
S1-748790903,"S2-676967387,S3-148241548,S3-454579695,S3-416767634,S3-252060024"
S1-54218952,"S2-994266951,S3-415211745,S3-729869544,S3-213622312,S3-56049508"
S1-209373501,"S2-550530246,S2-382987958,S2-283322285,S3-471067352,S3-935207059,S3-539020608"
S1-605463758,
S1-235219989,"S2-883341979,S2-975195,S3-122798604,S3-40452444,S3-543716397,S3-198235110"
S1-325158799,"S2-97371486,S2-305453577,S3-484444808,S3-214433038,S3-329448261,S3-793457655,S3-474019378,S3-318279783"
S1-265364803,S2-470128532
S1-367508421,"S2-620771592,S2-569638598,S3-964005525"
S1-399942607,"S2-279426705,S3-70614137,S3-490024128"
S1-378733399,
S1-499004170,"S2-571505407,S2-77430249,S2-603623372,S3-15203436,S3-922266986,S3-103383674"
S1-413863961,"S2-926332498,S3-306545614,S3-93877192,S3-63221944,S3-589062160"
S1-743030178,"S2-376234399,S3-925535014"
S1-894328332,"S2-688627620,S2-312111175,S3-901358537,S3-280765622,S3-548409498"
S1-445396622,"S2-113559656,S2-559815442,S2-772274185,S3-396626188,S3-180024296,S3-387455031,S3-239985232"
S1-235979196,"S2-690575852,S2-539506562,S2-421430080,S2-633046925,S3-694255200,S3-434915096,S3-294993317,S3-842129664"
S1-893127932,
S1-131372291,"S2-780749101,S3-241122994"
S1-884642317,"S2-392741345,S2-180231684,S3-868453138,S3-851132234,S3-405082607,S3-666547767"
S1-958314896,"S2-343771214,S2-755296932,S2-912998256,S3-622467613"
S1-385468358,"S2-410755528,S2-357389762,S2-86030491,S2-297798516,S3-385741601,S3-983626021"
S1-169636086,"S2-637560742,S2-159662661,S2-136229126,S2-701413931,S3-645191855"
S1-602648919,"S2-520016990,S3-489843360,S3-775246433"
S1-372523469,"S2-803144367,S3-574784244"
S1-75001001,"S2-525105261,S2-514780422,S3-266720888"
S1-723149744,"S2-510926680,S3-809835344,S3-579419345,S3-334950311,S3-714169500"
S1-47850050,"S2-869367807,S2-333218169,S3-856652953,S3-617785548"
S1-915475076,"S2-113135292,S2-255262799,S3-964783521,S3-13978286"
S1-720606535,
S1-320558990,"S2-573414392,S2-537144567"
S1-38141873,"S2-731270477,S3-849833960,S3-817257141,S3-600421466"
S1-760200351,"S2-555636706,S2-844023898,S2-685203548,S3-157488345"
S1-624650936,"S2-377323803,S2-856413877,S3-884246825,S3-396952084"
S1-590321576,"S2-270613574,S3-661574062,S3-483239231,S3-355897303,S3-880600661"
S1-810313198,"S2-151202453,S3-652776476"
S1-412142393,"S2-399341873,S2-844793686,S2-570236898,S3-193711695"
S1-213234186,"S3-231423249,S3-923389982,S3-450786447,S3-602663977"
S1-854025441,"S2-852239317,S2-221327973,S3-112954419,S3-502304968"
S1-651063147,"S2-575457275,S2-124583371,S2-748059646"
S1-424137909,"S2-967116857,S3-634062856,S3-725469570"
S1-697584021,S2-632125297
S1-929001625,"S2-762072356,S2-232674068"
S1-512893342,
S1-232818274,"S2-622989958,S2-356455196,S2-201953980,S2-846751044,S3-648033779"
S1-240103424,"S2-370538161,S2-356915400,S3-786766927,S3-696742264,S3-524637054"
S1-748067967,"S2-541458752,S3-448377098,S3-13874327"
S1-95008059,"S2-131565226,S3-118640887,S3-857296935"
S1-41369509,"S2-31936374,S2-499246395,S3-816076121,S3-146216501"
S1-543581148,"S3-365171991,S3-465355642,S3-811163455"
S1-120596731,"S2-599178131,S2-450957300,S3-47469234,S3-60607103,S3-431636650"
S1-582452447,"S2-141175220,S2-247798262,S3-396306324,S3-341125960,S3-555831766"
S1-647397407,"S2-622899007,S3-391451854,S3-202281316,S3-421698485,S3-210841154"
S1-771425737,"S3-343334228,S3-52974988,S3-304097352,S3-597827447"
S1-364278044,"S2-403451677,S2-148447319,S3-613258232,S3-834837466"
S1-917076136,"S3-367853021,S3-732444810,S3-573034532"
S1-202230061,"S2-691482589,S2-415664035,S3-112150989,S3-411788841,S3-685313510"
S1-369977694,"S2-262477751,S2-713698711,S2-569856689,S2-47621805,S3-907386857,S3-435974549"
S1-360475070,"S2-69845513,S2-616664986,S2-147274573,S3-988474542"
S1-552952774,"S2-536019425,S3-94164515,S3-49090034,S3-296448943"
S1-955073963,"S2-499695114,S3-928990798"
S1-266394603,"S2-649251093,S3-252111597,S3-630591565,S3-427497459"
S1-300087245,"S2-635531762,S3-580232588,S3-271677332,S3-18403511,S3-907374780"
S1-356948492,
S1-596730167,"S2-608628306,S3-802323265"
S1-159414225,"S3-339987776,S3-128374885"
S1-864861607,"S2-755275021,S3-677324722"
S1-682304780,"S2-150379129,S2-52563181,S3-370660180"
S1-820965874,"S2-600346397,S3-436081639,S3-926848789,S3-128459613,S3-402032941"
S1-11632084,"S2-896623352,S2-239768366,S3-820539583,S3-889098444"
S1-988349519,"S2-878583386,S2-621370914,S2-372783108,S3-833105503,S3-657158676"
S1-485537565,"S2-249124327,S3-669546680"
S1-819966462,"S2-902931538,S3-40413512,S3-149143737,S3-305355095"
S1-436108749,"S2-551638498,S3-462879907,S3-128071742"
S1-208172905,"S2-797621915,S2-907614095,S3-10462883,S3-562386690"
S1-922638659,"S2-448856559,S3-94497047,S3-305449434,S3-271001085"
S1-748748267,"S2-151712913,S3-281006277,S3-489189710,S3-651722087"
S1-107704460,"S2-18262282,S2-173172020,S3-571936724"
S1-927395432,"S2-674371531,S2-374227187"
S1-350682205,"S2-77309017,S3-545964083,S3-716534785,S3-281641568"
S1-842393757,S2-996515706
S1-636582688,
S1-332396561,S2-284605268
S1-813296641,"S2-521855039,S3-284659630,S3-194057767,S3-949214494,S3-420047081"
S1-997893849,"S2-668146993,S2-904179243,S3-125977285,S3-540502200,S3-440969970,S3-312259243"
S1-154162534,"S2-625638064,S3-466400827"
S1-690686517,"S2-208999799,S3-270088910,S3-961900412"
S1-486106344,"S2-401489406,S3-222894143,S3-861374354,S3-427582449,S3-999387747"
S1-859837268,"S2-836564063,S2-770252334,S3-840602694"
S1-818079935,S3-188938072
S1-145942069,"S2-546384625,S2-301292717,S2-546938288,S3-172290651,S3-922450288"
S1-488926539,"S2-754831265,S2-881141780,S3-430563063,S3-861546247,S3-479639130"
S1-568052938,"S2-705905056,S2-504400166"
S1-993089857,"S2-133880447,S2-571468855,S2-13865067,S3-252846279,S3-702745076"
S1-6783587,S2-77933717
S1-96135581,"S2-372684908,S3-402564292,S3-287713987"
S1-885430293,"S2-334968119,S3-640057863,S3-665945335"
S1-45969321,"S2-280206767,S3-926658217,S3-445341403,S3-448064913"
S1-235483578,"S2-28678035,S3-41821191,S3-458629296"
S1-359835317,S3-271194461
S1-799748525,"S2-142040288,S2-833549406,S3-407459197"
S1-68988905,"S2-454075181,S3-706356728,S3-596264960,S3-707683239"
S1-796884666,"S2-340693302,S3-905693781,S3-175349055"
S1-11132393,"S2-784583921,S2-370362639,S3-781350919,S3-54247962,S3-508052980,S3-437039823,S3-515018370"
S1-221841305,"S2-325694887,S3-746290232,S3-661893166"
S1-593181220,"S2-203900874,S3-685394269"
S1-825705647,"S2-443155936,S2-28085366,S2-678360953,S3-18067761,S3-36186163,S3-809253051"
S1-794268540,"S2-517853559,S2-759678463,S2-970504220,S3-521378867,S3-777969591,S3-178837903"
S1-699190099,"S2-736043473,S2-193538118,S2-690867581,S3-99243634,S3-134231030,S3-881697778"
S1-734490461,"S2-487468347,S2-571976765,S3-505212117"
S1-233284038,"S2-779107002,S3-168143551,S3-920058316"
S1-830838936,"S2-889972363,S3-440384261,S3-535685473"
S1-814449478,"S2-226471943,S2-854610685,S2-632234023,S2-226107061,S3-292054219,S3-787484235,S3-648109197"
S1-906485020,"S2-203967954,S2-820526030,S2-887033106,S3-257024316,S3-167780680,S3-128699941"
S1-734285713,"S2-461369604,S2-293435921,S2-75151140"
S1-40982538,"S2-914551249,S3-576507172,S3-227238252,S3-864935842"
S1-216567264,"S2-29314031,S3-589009266"
S1-732689177,"S2-55193859,S2-54137948,S3-316372802"
S1-138171385,"S2-627645645,S3-323120448,S3-59155791"
S1-702413212,"S2-673990422,S2-819566432,S3-550827914,S3-256486958,S3-398493836,S3-2960274"
S1-714884055,"S2-679757858,S2-181043220,S3-507266029,S3-987604044,S3-260813980,S3-837211750,S3-163997392"
S1-950184273,
S1-728309930,"S2-24833792,S3-81474691"
S1-503971021,S2-337300320
S1-427995039,"S2-521152644,S3-688296069"
S1-242562660,"S2-415756060,S2-316664083,S3-61553619,S3-705068292,S3-492010161"
S1-786762737,"S2-339297159,S2-596022131,S2-553652526,S3-228074550,S3-650789607"
S1-679154692,"S2-718607965,S2-583105633,S3-403311739,S3-958913160"
S1-817588191,"S2-290761954,S3-453503851,S3-473782994,S3-612625068,S3-270059564"
S1-513233359,
S1-473531106,"S2-622605542,S2-551182677,S3-88323660,S3-157070404"
S1-726579617,"S2-35200360,S2-418186698,S3-553793728,S3-30454507"
S1-447977778,"S2-75235244,S2-362155348,S2-890380419,S3-911027815,S3-191822383"
S1-227726038,"S2-533389360,S2-837469194,S3-82856313,S3-382969868"
S1-154509414,"S2-874196773,S3-243100376"
S1-274534899,"S2-74145672,S3-77765313"
S1-605807268,"S2-246072187,S2-717994494,S3-284621036,S3-848690622,S3-246750527"
S1-785935310,
S1-451044110,S2-960846600
S1-254228362,"S2-485738854,S3-508778697"
S1-222203294,"S2-947631155,S3-615057213,S3-117346864"
S1-342564739,
S1-85965426,"S2-482015312,S2-649600223,S2-995692775,S2-562404912,S3-698885518,S3-908442241"
S1-769739939,"S2-454479989,S2-286935567,S2-63727098,S2-342784002,S3-49377431,S3-707743887"
S1-519656611,"S2-891374903,S3-976220230,S3-634585233"
S1-742629142,S2-685057813
S1-639158873,"S2-832420098,S2-687108915,S2-959135100,S2-561554363,S3-768140796"
S1-680216072,"S3-978518556,S3-880496184,S3-278494946"
S1-372737,"S2-210468006,S2-728703247,S3-6473734"
S1-141265210,"S2-661128680,S3-719335472,S3-586411589,S3-624349296"
S1-565544874,"S2-809481473,S2-395716601,S2-29149657,S3-643795699"
S1-118767478,"S2-770344471,S2-219664716,S2-962894619,S3-219087871,S3-795769874"
S1-771791541,"S2-299275143,S3-556411175,S3-791098523"
S1-445941109,"S2-452480917,S2-364329044,S2-937093924,S3-257163653,S3-672110074"
S1-704089814,"S2-128355110,S2-267394505,S3-98589622"
S1-764841479,"S2-576179790,S3-297941196,S3-129412513"
S1-458432225,"S2-566216775,S2-96985972,S3-936137675,S3-164498846,S3-732982191"
S1-124037368,"S2-503007051,S3-151530721,S3-40900073"
S1-8068264,"S2-754222017,S2-989507234,S3-26009326,S3-686309097,S3-159665542"
S1-569789495,"S3-901360976,S3-685063052"
S1-458002560,
S1-745858308,"S2-392159608,S2-864440108,S3-595886609,S3-924306249,S3-700166191"
S1-897899818,"S2-704247513,S2-75373983,S2-128849086,S3-309295176,S3-984792599,S3-733527785"
S1-472382232,"S2-368505524,S2-671720857,S3-401443288,S3-688959236"
S1-78304820,"S2-988183501,S2-309206752,S2-805770527,S3-271350554"
S1-73932909,"S2-996084280,S2-334505782,S3-42992421,S3-696488830"
S1-892813706,"S2-509600059,S3-511057051,S3-354206178"
S1-152605010,"S2-168934451,S3-731076910"
S1-670284680,"S2-975723898,S3-322083480"
S1-915298960,"S2-724094892,S3-791453600,S3-951980255,S3-49369536"
S1-194173949,"S2-518027773,S3-847222919,S3-336328071"
S1-595046905,"S2-156021506,S2-907171784,S3-601246197"
S1-94411349,"S2-231470413,S2-351025188,S3-618015360,S3-873957571,S3-469305796,S3-55937852"
S1-677554161,"S2-284276202,S3-504689498,S3-250742442"
S1-173089268,"S2-201754355,S2-203764257,S3-667714753"
S1-298925720,"S2-902325613,S3-309877049,S3-767087991"
S1-28529944,"S2-447378245,S3-642252953,S3-143804721,S3-814545685"
S1-167644336,"S2-466934250,S2-245982650,S2-763274961,S3-998615527,S3-628921426,S3-563804994"
S1-861271386,"S2-631842884,S2-466665851,S2-62646880,S2-641697413,S3-888244546,S3-936604092,S3-646790722,S3-375877393"
S1-361295179,
S1-568176449,"S2-541937030,S2-444934619,S3-2357671"
S1-316580793,"S2-487929595,S2-635405329,S3-780674944"
S1-98996784,"S2-876416194,S2-203367638,S3-434682538,S3-50231006,S3-270460534"
S1-944030804,S2-371938201
S1-345464692,"S2-91282272,S3-56482890"
S1-18666291,S2-638418136
S1-826601121,"S2-655717470,S2-456685361,S2-547631591,S2-744206858,S3-564685201,S3-313516766"
S1-429016604,"S2-409767678,S3-290779224"
S1-501750960,"S2-563306534,S3-326100275"
S1-174741837,"S2-541776016,S3-922244935,S3-41665352,S3-280785828"
S1-273239207,"S2-254145053,S2-188348600,S2-269739067,S2-687280986"
S1-223479719,"S2-323015893,S2-209013801,S3-406030457"
S1-765692781,"S2-767892261,S2-740479722,S3-795761670,S3-512657600"
S1-8731441,"S2-907869510,S2-973681365,S2-782393632,S2-261267322,S3-899423032,S3-903713980"
S1-88136506,"S2-791921510,S2-462782452,S2-685613664,S3-874347409,S3-613085607"
S1-815768261,"S2-137951707,S3-621033465,S3-581097034,S3-974510078"
S1-122877827,"S2-273839257,S3-705956297,S3-277944577,S3-253716699"
S1-992584940,
S1-142293438,"S2-562633334,S3-829601744"
S1-392424392,"S2-827892894,S2-862853961,S3-781260123,S3-342819614"
S1-290900198,"S2-413162276,S3-582871876,S3-184557446,S3-540848157"
S1-489274202,
S1-199799418,"S2-661473281,S2-989479207,S2-779956987,S3-970380473"
S1-197300189,"S2-822794172,S2-717789741,S3-695526493,S3-351897109"
S1-766083195,
S1-867319598,"S2-53732007,S3-540930622,S3-925250266"
S1-906586605,"S2-266923289,S3-327234092,S3-652877415,S3-203928647"
S1-662480520,"S2-146684872,S2-184643314,S3-164902383"
S1-887114210,"S2-486799995,S3-107081286,S3-739789743"
S1-922435700,"S2-847286337,S3-19039717"
S1-578581390,"S2-72374918,S3-144813109"
S1-106773588,"S2-438543373,S3-241955205,S3-430159712,S3-678662250"
S1-576274947,"S2-8048809,S2-578194421,S3-650404190,S3-245752208,S3-636375947"
S1-334521834,"S2-115654081,S2-893372748,S2-147525570,S3-117303969"
S1-575675598,
S1-739295730,"S2-539346910,S2-450293856,S3-442389091,S3-275366329"
S1-990046472,"S2-600985486,S3-844573426,S3-222398517"
S1-653225604,"S2-549206831,S2-386298813,S3-895867209,S3-901110914"
S1-949966743,"S2-201880024,S2-24832253,S3-423700024,S3-269983516,S3-359355132"
S1-584629201,"S2-495056494,S3-216122075,S3-696056838,S3-407911521"
S1-908063079,"S2-689931902,S3-89723256,S3-287070468,S3-246611007,S3-745554856"
S1-798132216,"S2-262585141,S2-320882023,S3-380223548,S3-324288101"
S1-638252846,"S2-171179881,S2-748021495,S3-285414139"
S1-457548213,"S2-814948178,S3-328658140"
S1-897968423,"S2-546992315,S2-891398841,S3-753258061,S3-336798889"
S1-822112659,"S2-462571361,S2-283599423,S3-505450973"
S1-126147054,"S2-494766685,S2-242801939,S3-537129827"
S1-881623693,"S2-326761870,S3-743698520"
S1-623127360,"S2-640469692,S2-586428596,S2-617997484,S3-540575978"
S1-281221291,
S1-848337111,"S2-838230810,S2-533593111,S3-772111286,S3-963548712"
S1-792027083,"S2-57673529,S3-228377976,S3-844512353,S3-862222188,S3-567420049"
S1-794841509,
S1-884255542,"S2-928027186,S3-625144199,S3-312065042"
S1-865359652,"S2-413710984,S2-955542197,S2-818416981,S3-686076680,S3-186628682"
S1-165618811,"S2-910229908,S3-722775823"
S1-19014404,"S2-260436994,S2-657195994"
S1-271377293,"S2-792771990,S2-771274128,S3-94832728,S3-145883913"
S1-83682860,"S2-3319138,S3-466398459,S3-301561697"
S1-21693937,S2-893088861
S1-814995119,"S2-832710776,S3-996442942,S3-567281127,S3-527265288,S3-459520311"
S1-84487994,"S2-134085209,S2-931473251,S3-890403078,S3-848688296"
S1-166510323,"S2-663097256,S2-527500690,S2-623938316,S3-442236150,S3-143366416"
S1-66980183,"S2-586734926,S2-554295964,S3-725452522,S3-860318373"
S1-260688810,
S1-664638595,"S2-283630255,S3-54409958,S3-574054726"
S1-27534870,"S2-455470543,S3-590301951,S3-435394351"
S1-755152831,"S2-549697297,S3-801808031,S3-670229445,S3-460450565"
S1-848974405,"S2-378151977,S2-367397057,S2-771981619,S3-839688488,S3-313052486"
S1-145619099,"S2-957793746,S2-111944280,S2-723327964,S3-38790738"
S1-839300613,"S2-751315288,S2-157143354,S3-540007557,S3-250964149,S3-564690058,S3-99633084"
S1-64638510,"S2-978935304,S2-71843918,S2-506494442,S3-553773888,S3-790008302,S3-612331597"
S1-525512001,"S2-231540983,S3-436592261,S3-865534105"
S1-695962769,"S2-386617652,S2-946492549,S3-668397372"
S1-593651034,"S2-820458930,S2-574678605,S3-602079141,S3-427800686"
S1-425573756,"S2-530315801,S2-467985924,S3-65200494,S3-231353554"
S1-666598267,"S2-816804112,S2-108502802,S2-539844486,S3-780496751"
S1-966352755,"S2-561454267,S2-483357858,S2-855786549,S3-45843057,S3-304238123,S3-342176255"
S1-142912233,"S2-775711368,S3-712912068"
S1-573739083,"S2-167133629,S3-84274951,S3-602223151"
S1-742522589,"S2-139553000,S3-363536901,S3-755570091,S3-73245151"
S1-417160445,S2-599178397
S1-644042767,"S2-528381232,S2-863103171,S3-192600505,S3-919474286,S3-81647492"
S1-156155095,"S2-417396740,S2-876168948,S3-248515818,S3-579218973"
S1-122129571,"S2-242415228,S2-149736632,S2-76877801,S2-105491843,S2-415764238,S3-377668099,S3-750150930,S3-729210254,S3-831671026"
S1-945983033,"S2-446711557,S3-402590046,S3-711759262,S3-733963050"
S1-66841472,
S1-568379902,"S2-441738114,S2-569265339,S2-553719858,S3-384874093"
S1-229636920,"S2-952935289,S3-617527661,S3-537555692"
S1-20444920,"S2-950876557,S2-377248492,S3-99924571"
S1-481488227,"S2-450434225,S2-454178842,S2-581783718,S2-30383180,S3-221695257,S3-466840897,S3-252859733,S3-943057755,S3-305100319"
S1-376841393,"S2-943469278,S2-92017112,S2-237482059,S2-480494361,S3-540482612,S3-77379165"
S1-717209658,"S2-378507043,S3-808724987,S3-478300648"
S1-678573103,"S2-667030227,S2-968151900"
S1-929436188,"S2-597692962,S3-601124866"
S1-708341999,"S2-860420694,S3-99225121,S3-826708885"
S1-189487454,"S2-424373321,S3-197036689"
S1-31338710,"S2-976171884,S2-862678920,S2-776368859,S3-926734729,S3-179164369"
S1-606815002,"S2-914929062,S3-686758781,S3-625955481"
S1-868574189,"S2-874973347,S2-411154199,S2-869526918,S3-81478105,S3-781650519,S3-984801729,S3-309463377,S3-440853024"
S1-43416014,"S2-818593351,S2-89829928,S3-711781684,S3-549455763"
S1-218398519,"S2-464444556,S3-870858730"
S1-245544142,"S2-161964275,S3-130542466"
S1-729926555,"S2-566609290,S3-592879177,S3-638617438"
S1-436833324,"S2-81849136,S3-97056794,S3-195961903"
S1-284790344,"S2-433979208,S2-727020454,S3-454651795"
S1-582957691,S3-56277210
S1-361865144,
S1-170614263,"S2-577178881,S3-777188944,S3-438573373"
S1-68298109,"S2-246159597,S2-295364104,S3-744796188,S3-913420926,S3-159755560"
S1-820018846,"S2-156263701,S3-221493000,S3-142084707,S3-404212362,S3-355219747"
S1-77477412,"S2-6277734,S3-64649436"
S1-165291281,"S2-566361687,S2-389980950,S3-796159923,S3-933045719"
S1-535910144,"S2-600454601,S2-850470546,S2-415790317,S2-706202138,S3-555201121,S3-468087901,S3-232285800"
S1-85701111,"S2-773178455,S2-749341799"
S1-810156867,
S1-780381235,"S2-316258659,S3-339108378,S3-209985412"
S1-95035582,S2-526164191
S1-652566597,"S2-881205934,S3-483653199,S3-934104904"
S1-111442398,"S2-595444729,S2-931981340,S2-895997100,S2-307348541"
S1-379191085,"S2-704711118,S3-326022219,S3-22810178,S3-790614096"
S1-92301827,"S2-686639745,S2-632873517,S3-81507523,S3-544401319"
S1-622031745,S2-376062655
S1-286092822,"S3-487437102,S3-700866944,S3-287747642"
S1-171970067,"S2-523589464,S2-358588516,S2-714008544,S3-555298153,S3-272857171"
S1-89210487,"S2-401211272,S3-293178642"
S1-655119870,"S2-824597376,S2-829820523,S3-529337806,S3-609807407"
S1-977472271,"S2-456726493,S2-484198482,S2-914182352,S3-850355610,S3-855990149,S3-769822730,S3-996282399,S3-453407448"
S1-509237172,"S2-731071905,S3-221685689,S3-828239007,S3-287645839"
S1-394137,
S1-370167217,"S2-394066113,S3-747977760,S3-36701326"
S1-105025539,"S2-229899128,S2-756657810,S3-613537264,S3-223236355"
S1-785039248,"S2-337519875,S2-728438694,S2-291492826,S3-789705544,S3-250360541"
S1-385641981,"S2-914704962,S3-380601802"
S1-787376995,"S2-810322288,S2-240911981,S2-500717435,S3-669422449,S3-14612707,S3-344807590"
S1-679705210,"S2-579842583,S2-480837288,S3-91264946,S3-597460282,S3-436151408"
S1-829565132,"S2-534043104,S2-488049041,S3-498877402"
S1-138741291,"S2-950493256,S2-921979551,S3-188039202,S3-750523762"
S1-950485305,"S2-472644381,S3-489226152,S3-758136616,S3-984060188,S3-630329665,S3-925728629"
S1-82599645,"S2-410733937,S3-440733306"
S1-115775057,"S2-995151548,S3-289235717,S3-800879409"
S1-565665689,"S2-565945117,S2-517497502,S3-127115796,S3-943986526,S3-574407507,S3-298879761"
S1-461222117,"S2-497549106,S2-224731399,S2-427370911"
S1-632500007,"S2-546345396,S3-479491821,S3-286135421"
S1-526420060,"S2-848875149,S2-394445572,S3-128504488,S3-487017792,S3-383696616,S3-354414582,S3-338633965,S3-460103311"
S1-895441405,"S2-64679094,S3-371188386,S3-210620528,S3-483044735"
S1-668120828,
S1-906039676,"S3-287899669,S3-112541749"
S1-574114994,"S2-312991564,S2-484473077"
S1-142898221,"S3-586761947,S3-400249199"
S1-938222310,"S2-408300665,S3-294128750,S3-811706621"
S1-901768571,"S2-951195256,S2-920963737,S2-34552645,S3-804026372"
S1-245446183,"S2-924739659,S3-339728355,S3-268282165,S3-940841174"
S1-169237822,"S2-31003708,S2-758723571,S3-85215217"
S1-584318067,"S2-956174754,S2-949836483,S3-998135689"
S1-330668786,"S2-869512672,S2-487033263,S3-358962322"
S1-20448886,"S2-74095130,S2-630815656,S3-448471366"
S1-380690295,"S2-879846104,S3-445395227,S3-686261566"
S1-594053730,"S2-476131766,S2-162476547,S3-522138437,S3-904479673"
S1-238091381,"S2-649746203,S2-751241845,S3-285779587"
S1-843297565,"S2-71958034,S2-582972507,S3-275200479"
S1-523925528,"S2-654163670,S3-723723650"
S1-465622404,"S2-169600960,S3-224851624,S3-350134052"
S1-467982104,"S2-448327381,S3-378748808,S3-577763194,S3-374408166"
S1-610233045,"S2-985081256,S2-270853985,S3-978403682,S3-363063082,S3-223390406"
S1-993817490,"S2-754923710,S3-921449661,S3-794241767,S3-168790346,S3-54209439"
S1-674375749,
S1-265848037,"S2-910681817,S2-659964630,S2-811577513,S3-253900818,S3-584474816"
S1-501159987,"S2-906518536,S2-228692348,S3-161566312,S3-26600429"
S1-337559002,"S2-790668813,S2-478562246,S3-187850793,S3-397298655,S3-650551178"
S1-210537195,"S3-286875652,S3-887491475"
S1-583863308,"S2-983887248,S2-999295030,S3-575562034,S3-267353338,S3-297336525"
S1-14096491,"S2-66605545,S2-498177844,S3-542022633"
S1-216667596,"S2-394495210,S3-98623481,S3-232648363,S3-33376944"
S1-587448674,"S2-228655086,S2-731630986,S2-130656815,S3-428366625,S3-460361959,S3-685629754,S3-338519762"
S1-815610789,"S2-378909636,S3-936630592,S3-390693190"
S1-458447698,"S2-680841037,S3-837221267"
S1-551225152,"S2-981602390,S2-412943106,S2-559180447,S3-466221300,S3-466315848"
S1-997815306,"S3-869777398,S3-982357112,S3-497114545,S3-216901710,S3-745561704"
S1-891990458,"S2-785577826,S2-492228560,S2-834069453,S3-22510221"
S1-66627070,"S2-704412193,S2-306128542,S2-742170803,S3-605218548"
S1-433132389,"S2-252920712,S3-271776745,S3-726835028"
S1-371564705,"S2-640624904,S2-135981108,S2-993859034,S3-49976945"
S1-457143712,"S2-435219108,S3-755471924,S3-127148283"
S1-617916374,"S2-956333523,S2-483199550,S3-152776466"
S1-495293139,"S2-775200960,S3-859709400"
S1-136804424,"S2-634757512,S3-274908923,S3-946194409"
S1-558799294,"S2-199730363,S2-595418235"
S1-703390447,"S2-152939437,S3-325088943"
S1-376565249,"S2-57368876,S2-64423197,S3-744828503"
S1-164262919,"S2-513197872,S3-387140387,S3-237966438"
S1-703117185,"S2-888293580,S3-66131432"
S1-19843155,
S1-156401009,"S2-685828981,S3-754001775,S3-603585958,S3-407572348,S3-16421385,S3-74296288,S3-671846823"
S1-943574560,"S2-278835080,S3-653767003,S3-843145868,S3-857570269"
S1-16579382,"S2-298234475,S3-154679035,S3-329862247,S3-239083001,S3-414179397,S3-555903294"
S1-856887778,"S2-865382572,S2-116171643,S2-533984978,S3-408269191"
S1-582963333,"S2-551459870,S2-849588954,S2-862019211,S2-859938125,S3-915793493,S3-662284553"
S1-709642703,"S2-120210724,S2-234110092,S3-445297938,S3-522923535,S3-731374806"
S1-726176334,"S2-105192542,S2-933098045,S2-961407661,S2-462354984,S3-218254117,S3-878449898"
S1-727414426,"S2-272162373,S3-501660835"
S1-994472293,"S2-526708158,S3-649535240,S3-138108174,S3-750620759"
S1-268328102,"S2-185515584,S2-457845473,S3-982300590,S3-866601228,S3-417277595"
S1-879446420,"S2-5543659,S3-577321321,S3-551366784"
S1-453828109,"S2-68627417,S2-795918723,S3-104361385,S3-123770672,S3-870495763"
S1-610749071,"S2-622490434,S2-192707993,S2-23757842,S3-158080168"
S1-156012339,"S2-850660083,S2-35108575,S2-17502432,S3-419191907,S3-568711992,S3-398120515"
S1-81605598,
S1-991878061,"S2-941303651,S3-121584814,S3-556312973,S3-647061102,S3-612821773,S3-871801609"
S1-224539279,"S2-534256325,S2-8080627,S2-504115670,S2-869895454,S3-617769951"
S1-587818518,"S2-461541043,S2-915609277,S2-503493295,S3-261869640"
S1-124011915,"S2-142915933,S2-545607428,S3-729580933,S3-806446347"
S1-706512819,S2-347412418
S1-256413943,"S2-177141330,S2-457620148,S2-276730677,S3-639668113,S3-312575867"
S1-213780694,"S2-277280128,S2-900302705,S2-495253032,S3-235919374,S3-489250335,S3-307969231,S3-240258018"
S1-631998293,S3-294352110
S1-445160679,"S2-431154477,S2-317219191,S3-249284984,S3-799783626,S3-164786301,S3-444704937,S3-888403751"
S1-860707385,"S2-352375698,S2-257790023,S2-531576066,S3-911403414"
S1-542479949,"S2-813601941,S3-921049340"
S1-376635163,"S2-97235217,S2-404832765,S3-246142932,S3-174052288"
S1-163546776,"S3-915143617,S3-674504235"
S1-556632468,S3-820158978
S1-560914602,"S2-614640726,S2-530937308,S3-576788662,S3-135325781"
S1-51881274,"S2-924583324,S2-869019876,S3-669435220,S3-276853235"
S1-423209589,"S2-317633279,S3-397816613"
S1-634819723,"S2-171924795,S3-716687854,S3-91524049"
S1-326722113,
S1-988148781,
S1-294873982,"S3-905096285,S3-725058621,S3-723953712,S3-597200090"
S1-433797977,"S2-117194637,S3-978193139"
S1-654073982,"S2-25446308,S3-316984588,S3-110018459,S3-737918205"
S1-649279012,"S2-936677327,S2-953610319,S2-343164000,S3-155728669,S3-331098848,S3-951442538"
